"State","Year","Nature","Incidents"
"Louisiana",2003,"BSA.Structuring.Money.Laundering",1319
"Louisiana",2004,"BSA.Structuring.Money.Laundering",2326
"Louisiana",2005,"BSA.Structuring.Money.Laundering",2962
"Louisiana",2006,"BSA.Structuring.Money.Laundering",3470
"Louisiana",2007,"BSA.Structuring.Money.Laundering",2994
"Louisiana",2008,"BSA.Structuring.Money.Laundering",3070
"Louisiana",2009,"BSA.Structuring.Money.Laundering",3216
"Louisiana",2010,"BSA.Structuring.Money.Laundering",3295
"Louisiana",2011,"BSA.Structuring.Money.Laundering",0
"Louisiana",2012,"BSA.Structuring.Money.Laundering",0
"Louisiana",2013,"BSA.Structuring.Money.Laundering",0
"Louisiana",2014,"BSA.Structuring.Money.Laundering",0
"Louisiana",2015,"BSA.Structuring.Money.Laundering",0
"Louisiana",2016,"BSA.Structuring.Money.Laundering",0
"Maine",1996,"BSA.Structuring.Money.Laundering",31
"Maine",1997,"BSA.Structuring.Money.Laundering",57
"Maine",1998,"BSA.Structuring.Money.Laundering",63
"Maine",1999,"BSA.Structuring.Money.Laundering",66
"Maine",2000,"BSA.Structuring.Money.Laundering",108
